PO_ID,OperatorID,IncidentID,MachineID,StartDate,StartTime,EndDate,EndTime,QtyProduced,QtyRejected,Hours,ProductID
42836,477,61,AS-02,19-Jun-20,14:05:00,20-Jun-20,10:51:52,0,0,20.78111111,233545PEP01
39517,477,61,AS-02,30-Jan-20,07:05:31,31-Jan-20,01:53:06,0,0,18.79305556,230095PEP01
39890,477,61,AS-02,30-Jan-20,10:05:31,31-Jan-20,02:53:05,0,0,16.79277778,230340PEP01
40016,477,61,AS-02,28-Jan-20,14:07:17,29-Jan-20,04:52:38,0,0,14.75583333,233680PEP01
40095,477,61,AS-02,06-Feb-20,08:00:00,06-Feb-20,09:00:45,0,0,1.0125,232900PEP02
43286,477,61,AS-02,15-Jul-20,08:37:00,15-Jul-20,09:00:44,0,0,0.395555556,210665PEP01
42060,477,61,AS-02,13-May-20,12:35:00,13-May-20,12:57:51,0,0,0.380833333,233221PEP01
42624,477,61,AS-02,08-Jun-20,11:35:00,08-Jun-20,11:57:41,0,0,0.378055556,233545PEP01
41219,477,61,AS-02,16-Apr-20,07:15:00,16-Apr-20,07:27:43,0,0,0.211944444,233960PEP01
41872,477,61,AS-02,04-May-20,07:10:00,04-May-20,07:20:55,0,0,0.181944444,233545PEP01
41678,477,61,AS-02,13-Apr-20,07:05:00,13-Apr-20,07:15:54,0,0,0.181666667,233330PEP01
43027,477,61,AS-02,09-Jul-20,13:35:00,09-Jul-20,13:45:51,0,0,0.180833333,232970PEP01
43085,477,61,AS-02,09-Jul-20,08:55:00,09-Jul-20,09:05:46,0,0,0.179444444,233545PEP01
40785,477,61,AS-02,18-Mar-20,13:00:00,18-Mar-20,13:07:39,0,0,0.1275,230005PEP01
42570,477,61,AS-02,10-Jun-20,10:18:00,10-Jun-20,10:24:22,0,0,0.106111111,210945PEP01
41225,477,61,AS-02,17-Apr-20,13:00:00,17-Apr-20,13:05:55,0,0,0.098611111,210071PEP01
41445,477,61,AS-02,30-Mar-20,08:40:00,30-Mar-20,08:45:53,0,0,0.098055556,220037PEP01
39668,477,61,AS-02,15-Apr-20,06:30:00,15-Apr-20,06:35:44,0,0,0.095555556,231130PEP01
40287,477,61,AS-02,04-Feb-20,13:05:00,04-Feb-20,13:10:37,0,0,0.093611111,233875PEP01
41219,477,61,AS-02,16-Apr-20,09:15:00,16-Apr-20,09:20:32,0,0,0.092222222,233960PEP01
39379,477,61,AS-02,04-May-20,09:25:00,04-May-20,09:30:30,0,0,0.091666667,210950PEP01
41472,477,61,AS-02,23-Apr-20,07:50:00,23-Apr-20,07:55:29,0,0,0.091388889,233675PEP01
41648,477,61,AS-02,15-Apr-20,10:40:00,15-Apr-20,10:45:28,0,0,0.091111111,232571PEP01
41249,477,61,AS-02,21-Apr-20,11:40:00,21-Apr-20,11:45:28,0,0,0.091111111,210061PEP01
41484,477,61,AS-02,15-Apr-20,08:15:00,15-Apr-20,08:20:27,0,0,0.090833333,233216PEP01
